No,일자,택배지점,터미널,집배점,비대면 배송완료 사진 전송 대상 건수,비대면 배송완료 사진 전송 건수,미전송 건수,전송률
141.0,20260518,대구,달성,옥포(집),301.0,342.0,-41.0,113.6%
142.0,20260518,대구,달성,현풍(집),1270.0,1349.0,-79.0,106.2%
143.0,20260518,대구,대구,대구 용산(집),1142.0,1266.0,-124.0,110.9%
144.0,20260518,대구,대구,송현(집),744.0,762.0,-18.0,102.4%
145.0,20260518,대구,동명,동명(집),44.0,52.0,-8.0,118.2%
146.0,20260518,대구,서대구,이현(집),591.0,589.0,2.0,99.7%
147.0,20260518,대구,서대구,평리(집),670.0,715.0,-45.0,106.7%
148.0,20260518,대전,공주,공주(집),211.0,237.0,-26.0,112.3%
149.0,20260518,대전,공주,장군(집),332.0,335.0,-3.0,100.9%
150.0,20260518,대전,금산,금산(집),483.0,513.0,-30.0,106.2%
151.0,20260518,대전,논산,강경(집),278.0,307.0,-29.0,110.4%
152.0,20260518,대전,논산,논산(집),541.0,551.0,-10.0,101.8%
153.0,20260518,대전,대전A,계룡(집),335.0,369.0,-34.0,110.1%
154.0,20260518,대전,대전A,관평(집),339.0,381.0,-42.0,112.4%
155.0,20260518,대전,대전A,봉명(집),1457.0,1658.0,-201.0,113.8%
156.0,20260518,대전,대전A,전민(집),927.0,1050.0,-123.0,113.3%
157.0,20260518,대전,대전A,진잠반석(집),735.0,794.0,-59.0,108%
158.0,20260518,대전,대전중구,둔산(집),425.0,488.0,-63.0,114.8%
159.0,20260518,대전,대전중구,문화(집),414.0,461.0,-47.0,111.4%
160.0,20260518,대전,대전중구,은행(집),359.0,384.0,-25.0,107%
161.0,20260518,대전,대전중구,중촌대흥(집),991.0,1055.0,-64.0,106.5%
162.0,20260518,대전,동대전,대전성남(집),1594.0,1711.0,-117.0,107.3%
163.0,20260518,대전,무주,무주(집),141.0,98.0,43.0,69.5%
164.0,20260518,대전,부여,부여(집),366.0,382.0,-16.0,104.4%
165.0,20260518,대전,북대전,송촌(집),1158.0,845.0,313.0,73%
166.0,20260518,대전,북대전,신탄진(집),673.0,739.0,-66.0,109.8%
167.0,20260518,대전,서대전,관저(집),658.0,729.0,-71.0,110.8%
168.0,20260518,대전,서대전,월평탄방(집),1293.0,1406.0,-113.0,108.7%
169.0,20260518,대전,서대전,정림(집),820.0,881.0,-61.0,107.4%
170.0,20260518,대전,영동,영동(집),304.0,315.0,-11.0,103.6%
171.0,20260518,대전,옥천,옥천(집),379.0,369.0,10.0,97.4%
172.0,20260518,대전,조치원,남세종(집),739.0,788.0,-49.0,106.6%
173.0,20260518,대전,조치원,서세종(집),1389.0,1519.0,-130.0,109.4%
174.0,20260518,대전,조치원,세종중앙(집),768.0,820.0,-52.0,106.8%
175.0,20260518,대전,조치원,연기(집),1363.0,1455.0,-92.0,106.7%
176.0,20260518,대전,조치원,전의(집),533.0,515.0,18.0,96.6%
177.0,20260518,대전,청양,청양(집),127.0,110.0,17.0,86.6%
178.0,20260518,동대구,경산,경산백천(집),273.0,306.0,-33.0,112.1%
179.0,20260518,동대구,경산,경산중산(집),312.0,379.0,-67.0,121.5%
180.0,20260518,동대구,경산,하양(집),968.0,945.0,23.0,97.6%
181.0,20260518,동대구,대구중구,대구중구(집),691.0,745.0,-54.0,107.8%
182.0,20260518,동대구,대구중구,대봉(집),492.0,580.0,-88.0,117.9%
183.0,20260518,동대구,대구중구,봉무(집),463.0,477.0,-14.0,103%
184.0,20260518,동대구,동대구,대구방촌(집),469.0,512.0,-43.0,109.2%
185.0,20260518,동대구,동대구,대구신천(집),468.0,507.0,-39.0,108.3%
186.0,20260518,동대구,동대구,안심(집),783.0,817.0,-34.0,104.3%
187.0,20260518,동대구,북대구,대구 강북(집),991.0,944.0,47.0,95.3%
188.0,20260518,동대구,북대구,대구매천(집),455.0,493.0,-38.0,108.4%
189.0,20260518,동대구,북대구,산격(집),569.0,644.0,-75.0,113.2%
190.0,20260518,동대구,북대구,칠성(집),948.0,1029.0,-81.0,108.5%
191.0,20260518,동대구,북대구,학정(집),216.0,260.0,-44.0,120.4%
192.0,20260518,동대구,수성구,두산(집),934.0,1029.0,-95.0,110.2%
193.0,20260518,동대구,수성구,만촌(집),326.0,375.0,-49.0,115%
194.0,20260518,동대구,수성구,수성(집),1671.0,1744.0,-73.0,104.4%
195.0,20260518,동대구,수성구,시지(집),726.0,778.0,-52.0,107.2%
196.0,20260518,동대구,영천,영천(집),470.0,713.0,-243.0,151.7%
197.0,20260518,동대구,청도,청도(집),195.0,222.0,-27.0,113.8%
198.0,20260518,동대문,구리사노2(성북),길음(집),215.0,228.0,-13.0,106%
199.0,20260518,동대문,구리사노2(성북),돈암(집),158.0,174.0,-16.0,110.1%
